日付,台番,差枚,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大出メダル
2026/06/14,706,3167,,,,,,,
2026/06/14,707,-2062,,,,,,,
2026/06/14,708,-229,,,,,,,
2026/06/14,710,-917,,,,,,,
2026/06/15,705,1125,,,,,,,
2026/06/15,706,21,,,,,,,
2026/06/15,707,1542,,,,,,,
2026/06/15,708,1146,,,,,,,
2026/06/15,710,-1458,,,,,,,
2026/06/16,705,-4125,,,,,,,
2026/06/16,706,-938,,,,,,,
2026/06/16,707,1833,,,,,,,
2026/06/16,708,-2792,,,,,,,
2026/06/16,710,3312,,,,,,,
2026/06/17,703,-396,5,4,1/183,1/101,913,53,485
2026/06/17,705,-271,1,1,1/259,1/130,259,47,213
2026/06/17,706,12292,60,14,1/38,1/31,2309,9,12015
2026/06/17,707,750,6,2,1/36,1/27,215,51,829
2026/06/17,708,-562,1,2,1/462,1/154,462,44,202
2026/06/17,710,-1042,5,3,1/200,1/125,999,56,262
2026/06/18,703,-750,3,5,1/303,1/114,909,29,398
2026/06/18,705,5958,31,8,1/39,1/31,1211,42,6302
2026/06/18,706,-1500,5,5,1/276,1/138,1382,41,233
2026/06/18,707,-167,1,1,1/207,1/104,207,18,207
2026/06/18,708,-1250,8,8,1/224,1/112,1794,160,1196
2026/06/18,710,-1625,17,9,1/145,1/95,2464,23,983
2026/06/19,703,-333,21,9,1/131,1/92,2749,128,2537
2026/06/19,705,6625,1,1,1/167,1/84,167,30,173
2026/06/19,706,-958,6,7,1/220,1/102,1320,17,522
2026/06/19,707,1000,16,9,1/143,1/92,2288,138,3126
2026/06/19,708,2250,14,3,1/45,1/37,636,1,2663
2026/06/19,710,2500,16,4,1/94,1/75,1507,151,4315
2026/06/20,703,7729,45,11,1/44,1/36,1989,136,8143
2026/06/20,705,-312,1,2,1/369,1/123,369,19,262
2026/06/20,706,5708,41,11,1/68,1/54,2791,140,6854
2026/06/20,707,-146,3,2,1/135,1/81,405,16,483
2026/06/20,708,521,12,8,1/166,1/100,1991,38,3126
2026/06/20,710,2958,36,16,1/110,1/76,3953,1,6228
2026/06/21,703,-5417,28,25,1/247,1/130,6905,53,1035
2026/06/21,705,-917,2,5,1/424,1/121,847,17,173
2026/06/21,706,-1917,10,12,1/243,1/110,2425,59,1043
2026/06/21,707,-2750,13,12,1/238,1/124,3090,219,539
2026/06/21,708,10625,61,9,1/38,1/34,2348,155,11158
2026/06/21,710,-1292,4,4,1/300,1/150,1200,2,273
2026/06/22,703,-417,1,1,1/338,1/169,338,254,187
2026/06/22,705,-1250,7,6,1/233,1/125,1629,13,531
2026/06/22,706,-208,2,1,1/184,1/123,368,240,303
2026/06/22,707,-1979,13,14,1/242,1/117,3147,12,1890
2026/06/22,708,-1104,4,5,1/298,1/133,1193,53,216
2026/06/22,710,-2500,10,10,1/252,1/126,2519,233,585
2026/06/23,703,-146,20,6,1/119,1/91,2373,29,1388
2026/06/23,705,-479,9,8,1/148,1/79,1336,24,791
2026/06/23,706,-1021,2,4,1/439,1/146,878,48,211
2026/06/23,707,-1521,4,9,1/403,1/124,1610,23,634
2026/06/23,708,167,7,4,1/102,1/65,712,14,1097
2026/06/23,710,-917,5,6,1/236,1/107,1178,19,585
2026/06/24,703,-1625,2,5,1/667,1/191,1334,124,243
2026/06/24,705,-1396,11,10,1/191,1/100,2100,34,851
2026/06/24,706,-750,1,2,1/580,1/193,580,15,185
2026/06/24,707,-667,25,15,1/135,1/85,3380,51,1595
2026/06/24,708,-167,12,9,1/139,1/79,1668,216,1417
2026/06/24,710,-1521,3,4,1/402,1/172,1206,212,175
2026/06/25,703,-292,2,2,1/206,1/103,412,17,388
2026/06/25,705,-646,6,4,1/152,1/91,911,19,379
2026/06/25,706,833,10,6,1/174,1/109,1738,53,2615
2026/06/25,707,-292,2,3,1/221,1/88,442,13,285
2026/06/25,708,-1646,1,5,1/1173,1/196,1173,20,188
2026/06/25,710,-1438,4,6,1/351,1/140,1402,55,526
2026/06/26,703,-1583,14,14,1/191,1/96,2678,156,947
2026/06/26,705,-1042,9,7,1/206,1/116,1852,51,1097
2026/06/26,706,3312,32,24,1/144,1/82,4593,20,7495
2026/06/26,707,-458,1,2,1/384,1/128,384,18,163
2026/06/26,708,6750,50,12,1/55,1/44,2741,1,7109
2026/06/26,710,-4208,12,12,1/332,1/166,3983,134,1050
2026/06/27,703,-625,5,5,1/186,1/93,930,59,396
2026/06/27,705,-4167,15,13,1/278,1/149,4175,2,1464
2026/06/27,706,-375,1,3,1/353,1/88,353,52,184
2026/06/27,707,-2458,15,15,1/211,1/105,3159,20,980
2026/06/27,708,1042,18,7,1/90,1/65,1617,16,2586
2026/06/27,710,-917,10,6,1/177,1/111,1772,162,722
2026/06/28,703,3042,23,6,1/69,1/55,1585,125,4564
2026/06/28,705,-1375,10,7,1/220,1/129,2195,186,1066
2026/06/28,706,1375,18,2,1/76,1/69,1373,49,3284
2026/06/28,707,-583,4,2,1/161,1/107,642,21,350
2026/06/28,708,-2062,3,5,1/536,1/201,1609,139,271
2026/06/28,710,-1208,2,4,1/506,1/169,1011,60,214
2026/06/29,703,3875,25,5,1/66,1/55,1638,54,5572
2026/06/29,705,-1167,4,7,1/283,1/103,1132,59,484
2026/06/29,706,-792,3,3,1/261,1/131,784,18,292
2026/06/29,707,-333,1,1,1/278,1/139,278,114,159
2026/06/29,708,-1146,4,4,1/279,1/139,1114,138,415
2026/06/29,710,375,3,3,1/183,1/91,548,152,1266
2026/06/30,703,-396,2,2,1/203,1/101,405,135,292
2026/06/30,705,6750,1,2,1/156,1/52,156,1,243
2026/06/30,706,-354,1,2,1/331,1/110,331,17,199
2026/06/30,707,1271,11,2,1/96,1/81,1057,127,2219
2026/06/30,708,-1312,3,5,1/378,1/142,1134,122,294
2026/06/30,710,-1500,11,8,1/197,1/114,2162,124,796
2026/07/01,703,4812,33,15,1/101,1/70,3341,108,5581
2026/07/01,705,-2271,30,22,1/191,1/110,5744,0,2372
2026/07/01,706,5688,36,15,1/80,1/56,2863,14,7237
2026/07/01,707,-1458,5,4,1/284,1/158,1422,73,474
2026/07/01,708,2542,15,8,1/94,1/61,1410,20,3730
2026/07/01,710,-896,23,13,1/134,1/86,3083,3,1699
2026/07/02,703,-1833,3,7,1/592,1/178,1776,62,557
2026/07/02,705,-1417,8,5,1/216,1/133,1725,51,774
2026/07/02,706,-2562,9,10,1/277,1/131,2496,162,528
2026/07/02,707,2375,24,8,1/100,1/75,2409,2,4836
2026/07/02,708,354,15,10,1/141,1/84,2111,16,2938
2026/07/02,710,-1688,2,5,1/640,1/183,1279,52,181
2026/07/03,703,-1396,5,8,1/375,1/144,1874,64,752
2026/07/03,705,-3208,3,5,1/736,1/276,2208,16,227
2026/07/03,706,3417,17,2,1/28,1/25,483,49,3407
2026/07/03,707,2521,18,3,1/59,1/51,1070,19,3592
2026/07/03,708,-1312,6,8,1/252,1/108,1510,16,243
2026/07/03,710,-2042,25,28,1/188,1/89,4708,17,759
2026/07/04,703,-3458,7,10,1/409,1/168,2863,33,322
2026/07/04,705,-771,34,23,1/155,1/93,5276,1,2480
2026/07/04,706,-438,2,1,1/186,1/124,371,137,245
2026/07/04,707,1833,29,17,1/109,1/68,3150,37,4197
2026/07/04,708,3188,29,8,1/85,1/67,2473,15,5333
2026/07/04,710,12646,57,7,1/16,1/15,931,1,15016
2026/07/05,703,3917,36,11,1/79,1/61,2854,19,5200
2026/07/05,705,-2542,13,10,1/227,1/128,2948,64,636
2026/07/05,706,7833,46,10,1/31,1/25,1420,150,8536
2026/07/05,707,-1208,11,8,1/164,1/95,1803,241,899
2026/07/05,708,-1521,5,4,1/320,1/178,1599,231,630
2026/07/05,710,-2333,12,10,1/231,1/126,2773,47,412
2026/07/06,703,-3500,16,16,1/239,1/119,3818,16,1052
2026/07/06,705,-1958,22,9,1/158,1/112,3471,2,1351
2026/07/06,706,-1458,22,15,1/144,1/86,3175,1,846
2026/07/06,707,-2271,9,6,1/267,1/160,2400,123,836
2026/07/06,708,-2229,13,9,1/215,1/127,2795,20,861
2026/07/06,710,-3146,14,13,1/271,1/141,3797,1,695
2026/07/07,703,-771,4,3,1/242,1/138,967,126,453
2026/07/07,705,-2667,11,14,1/249,1/110,2740,16,682
2026/07/07,706,-2208,7,6,1/286,1/154,2004,13,725
2026/07/07,707,-1583,4,4,1/373,1/186,1491,60,376
2026/07/07,708,1979,18,4,1/54,1/45,979,135,3321
2026/07/07,710,-2000,17,12,1/185,1/108,3145,226,1224
2026/07/08,703,-188,3,2,1/158,1/95,474,43,272
2026/07/08,705,1938,23,10,1/73,1/51,1673,2,3128
2026/07/08,706,6750,1,1,1/120,1/60,120,6,197
2026/07/08,707,1146,21,8,1/99,1/72,2079,54,3393
2026/07/08,708,2417,13,7,1/98,1/64,1279,1,3311
2026/07/08,710,-1542,9,7,1/215,1/121,1932,131,541
2026/07/09,703,208,12,7,1/96,1/61,1150,31,1470
2026/07/09,705,-3688,10,13,1/333,1/145,3328,1,389
2026/07/09,706,-646,9,6,1/177,1/106,1596,14,915
2026/07/09,707,-1583,12,10,1/179,1/98,2145,57,423
2026/07/09,708,-1625,9,9,1/220,1/110,1978,47,452
2026/07/09,710,917,24,10,1/134,1/95,3223,48,4842
2026/07/10,703,4042,21,8,1/38,1/28,800,58,3960
2026/07/10,705,-1083,1,4,1/810,1/162,810,45,203
2026/07/10,706,-1438,6,9,1/296,1/118,1777,47,623
2026/07/10,707,-688,1,3,1/636,1/159,636,15,218
2026/07/10,708,-1396,12,10,1/196,1/107,2349,143,1596
2026/07/10,710,-896,3,4,1/328,1/140,983,26,443
2026/07/11,703,-2000,3,5,1/513,1/192,1539,16,248
2026/07/11,705,-958,9,7,1/168,1/95,1513,21,313
2026/07/11,706,-583,4,3,1/201,1/115,803,69,508
2026/07/11,707,1396,20,13,1/108,1/65,2153,18,3287
2026/07/11,708,1250,26,9,1/100,1/74,2590,53,4456
2026/07/11,710,-479,23,7,1/129,1/99,2968,16,1587
2026/07/12,703,-2167,5,10,1/411,1/137,2057,20,776
2026/07/12,705,5938,42,11,1/60,1/48,2533,244,7717
2026/07/12,706,-542,12,7,1/181,1/114,2166,16,2263
2026/07/12,707,-1354,6,7,1/253,1/117,1517,14,372
2026/07/12,708,-2250,6,9,1/351,1/140,2104,137,470
2026/07/12,710,-4208,6,10,1/561,1/211,3368,233,471
2026/07/13,703,-500,4,3,1/159,1/91,637,1,345
2026/07/13,705,-2562,4,6,1/529,1/212,2116,57,585
2026/07/13,706,-500,1,2,1/408,1/136,408,230,184
2026/07/13,707,667,6,1,1/67,1/57,401,262,1345
2026/07/13,708,6771,6,4,1/117,1/70,704,51,821
2026/07/13,710,-1958,15,13,1/195,1/104,2925,16,741
2026/07/14,703,3083,13,3,1/68,1/55,878,1,3316
2026/07/14,705,438,17,11,1/142,1/87,2422,33,2875
2026/07/14,706,-1292,8,6,1/209,1/119,1670,39,546
2026/07/14,707,-1229,5,5,1/246,1/123,1228,70,435
2026/07/14,708,667,16,13,1/150,1/82,2392,7,2032
2026/07/14,710,4958,21,7,1/58,1/44,1221,43,5263
2026/07/15,703,-2333,10,7,1/250,1/147,2504,2,649
2026/07/15,705,-1500,15,12,1/207,1/115,3104,43,1836
2026/07/15,706,-417,1,2,1/358,1/119,358,52,171
2026/07/15,707,-1812,10,11,1/226,1/108,2260,41,349
2026/07/15,708,-3354,17,19,1/254,1/120,4323,132,1374
2026/07/15,710,-208,14,9,1/142,1/86,1989,1,1567
2026/07/16,703,3417,24,11,1/100,1/68,2388,25,4859
2026/07/16,705,-3771,41,31,1/177,1/101,7273,134,1558
2026/07/16,706,250,10,5,1/135,1/90,1345,59,1591
2026/07/16,707,5521,48,17,1/81,1/60,3909,123,6229
2026/07/16,708,-1250,15,10,1/172,1/103,2573,51,794
2026/07/16,710,-2354,11,10,1/232,1/122,2557,124,541
2026/07/17,703,-167,7,4,1/125,1/79,873,112,783
2026/07/17,705,-354,9,4,1/152,1/105,1369,34,1202
2026/07/17,706,542,14,8,1/139,1/88,1946,2,2232
2026/07/17,707,-167,2,1,1/133,1/89,266,52,283
2026/07/17,708,167,4,2,1/82,1/55,329,123,591
2026/07/17,710,-562,4,5,1/207,1/92,829,55,393
2026/07/18,703,3042,28,11,1/84,1/60,2339,42,4295
2026/07/18,705,2875,22,11,1/100,1/67,2210,17,3599
2026/07/18,706,-458,1,1,1/394,1/197,394,189,209
2026/07/18,707,2458,21,10,1/83,1/56,1743,7,3426
2026/07/18,708,354,13,6,1/115,1/79,1494,123,1463
2026/07/18,710,-3750,16,14,1/276,1/147,4412,211,1554
2026/07/19,703,375,17,9,1/139,1/91,2364,35,2052
2026/07/19,705,-833,25,14,1/167,1/107,4163,138,2499
2026/07/19,706,-1042,2,5,1/450,1/129,900,132,203
2026/07/19,707,-708,1,3,1/548,1/137,548,71,183
2026/07/19,708,-1083,1,5,1/843,1/141,843,29,190
2026/07/19,710,3312,27,10,1/99,1/72,2675,15,6353
2026/07/20,703,-42,1,1,1/104,1/52,104,2,160
2026/07/20,705,-375,0,1,-,1/227,227,2,21
2026/07/20,706,979,4,1,1/33,1/26,132,1,1207
2026/07/20,707,-188,0,0,-,-,110,110,9
2026/07/20,708,-438,0,1,-,1/267,267,52,11
2026/07/20,710,-250,1,1,1/259,1/130,259,31,220
2026/07/21,703,-833,5,5,1/273,1/136,1364,326,756
2026/07/21,705,-854,24,11,1/127,1/87,3050,0,1861
2026/07/21,706,-292,2,3,1/232,1/93,464,25,290
2026/07/21,707,2396,15,4,1/42,1/33,623,19,2811
2026/07/21,708,-167,3,1,1/133,1/100,400,11,437
2026/07/21,710,-1479,4,4,1/312,1/156,1247,222,233
2026/07/22,703,-1042,6,6,1/237,1/119,1422,51,588
2026/07/22,705,-1458,10,6,1/176,1/110,1759,221,467
2026/07/22,706,-271,0,1,-,1/184,184,124,41
2026/07/22,707,6167,7,7,1/192,1/96,1344,7,734
2026/07/22,708,8396,14,1,1/52,1/49,734,8,2448
2026/07/22,710,458,5,4,1/108,1/60,538,55,840
2026/07/23,703,6667,1,1,1/139,1/70,139,14,167
2026/07/23,705,3229,28,16,1/99,1/63,2777,5,4273
2026/07/23,706,-83,8,5,1/160,1/99,1281,0,1121
2026/07/23,707,-1354,2,6,1/576,1/144,1151,2,223
2026/07/23,708,-875,2,3,1/370,1/148,740,3,201
2026/07/23,710,-1250,9,12,1/219,1/94,1968,51,626
2026/07/24,703,-42,16,9,1/172,1/110,2744,17,2983
2026/07/24,705,-42,14,6,1/117,1/82,1636,53,1169
2026/07/24,706,-167,12,13,1/165,1/79,1984,34,1082
2026/07/24,707,292,10,4,1/73,1/52,731,125,853
2026/07/24,708,2062,15,9,1/158,1/99,2376,125,2747
2026/07/24,710,-938,2,2,1/367,1/184,734,52,186
2026/07/25,703,-3458,11,14,1/297,1/131,3265,256,333
2026/07/25,705,-604,2,2,1/263,1/132,526,1,235
2026/07/25,706,6333,52,11,1/59,1/49,3059,45,9096
2026/07/25,707,625,21,9,1/136,1/96,2865,14,3175
2026/07/25,708,2396,17,5,1/82,1/63,1386,1,3545
2026/07/25,710,-771,18,8,1/169,1/117,3047,19,2427
2026/07/26,703,-7208,15,23,1/412,1/162,6174,20,564
2026/07/26,705,-5292,23,23,1/256,1/128,5887,52,1135
2026/07/26,706,771,56,38,1/119,1/71,6664,52,2445
2026/07/26,707,3979,39,18,1/119,1/82,4659,135,5098
2026/07/26,708,4750,63,27,1/90,1/63,5662,35,7042
2026/07/26,710,-1875,33,25,1/171,1/97,5637,6,2503
2026/07/27,703,-292,2,1,1/193,1/129,386,223,308
2026/07/27,705,-21,0,0,-,-,0,0,0
2026/07/27,706,-21,0,0,-,-,0,0,0
2026/07/27,707,-21,0,0,-,-,0,0,0
2026/07/27,708,-21,0,0,-,-,0,0,0
2026/07/27,710,-21,0,0,-,-,0,0,0
2026/07/28,703,4854,,,,,,,
2026/07/28,705,4854,,,,,,,
2026/07/28,706,4854,,,,,,,
2026/07/28,707,4854,,,,,,,
2026/07/28,708,4854,,,,,,,
2026/07/28,710,4854,,,,,,,
2026/07/29,703,667,6,2,1/56,1/42,334,71,1175
2026/07/29,705,-167,12,7,1/123,1/78,1477,42,1091
2026/07/29,706,-2042,7,8,1/279,1/130,1953,60,426
2026/07/29,707,-1667,8,8,1/256,1/128,2044,125,895
2026/07/29,708,-375,3,2,1/139,1/83,417,39,195
2026/07/29,710,2854,40,17,1/90,1/63,3600,44,3301
2026/07/30,703,-2417,6,13,1/388,1/122,2326,15,376
2026/07/30,705,-917,3,3,1/264,1/132,791,131,237
2026/07/30,706,-750,1,2,1/532,1/177,532,125,182
2026/07/30,707,6625,1,1,1/180,1/90,180,55,202
2026/07/30,708,4354,22,7,1/70,1/53,1541,60,5993
2026/07/30,710,-250,6,3,1/169,1/112,1011,52,1167
2026/07/31,703,-1021,2,2,1/401,1/200,801,61,344
2026/07/31,705,-3333,6,8,1/452,1/194,2714,43,415
2026/07/31,706,-417,2,2,1/197,1/98,393,42,239
2026/07/31,707,-1479,2,4,1/591,1/197,1182,23,343
2026/07/31,708,-1792,3,5,1/462,1/173,1387,33,243
2026/07/31,710,-1104,5,4,1/240,1/133,1201,4,524
2026/08/01,703,-1958,4,7,1/454,1/165,1817,231,583
2026/08/01,705,-3125,5,6,1/489,1/222,2447,152,312
2026/08/01,706,7583,37,8,1/27,1/22,999,62,7703
2026/08/01,707,-896,5,4,1/240,1/133,1199,16,821
2026/08/01,708,5917,40,10,1/41,1/33,1659,26,7538
2026/08/01,710,1583,31,9,1/85,1/66,2640,53,4396
2026/08/02,703,-1854,10,9,1/230,1/121,2301,207,831
2026/08/02,705,-1125,2,3,1/439,1/176,878,138,180
2026/08/02,706,-4146,20,20,1/267,1/133,5331,54,1509
2026/08/02,707,21,3,2,1/141,1/85,424,134,653
2026/08/02,708,146,6,2,1/114,1/86,684,137,956
2026/08/02,710,-1083,25,11,1/124,1/86,3094,1,2322
2026/08/03,703,-417,0,1,-,1/242,242,106,25
2026/08/03,705,-188,0,1,-,1/112,112,1,41
2026/08/03,706,-42,0,0,-,-,13,13,3
2026/08/03,707,-21,0,0,-,-,2,2,3
2026/08/03,708,-167,1,1,1/183,1/92,183,17,173
2026/08/03,710,-42,0,1,-,1/42,42,5,41
2026/08/04,703,-1125,5,6,1/234,1/106,1169,137,279
2026/08/04,705,-208,1,2,1/242,1/81,242,15,181
2026/08/04,706,-104,5,4,1/107,1/60,536,31,399
2026/08/04,707,-333,5,3,1/161,1/101,804,18,972
2026/08/04,708,-792,6,7,1/191,1/88,1147,18,861
2026/08/04,710,2792,10,2,1/23,1/19,228,15,2985
2026/08/05,703,-2104,12,6,1/221,1/147,2650,218,793
2026/08/05,705,-83,23,10,1/133,1/92,3049,84,2404
2026/08/05,706,-83,5,4,1/142,1/79,708,126,793
2026/08/05,707,-833,6,5,1/228,1/124,1367,28,865
2026/08/05,708,-500,2,3,1/265,1/106,529,129,191
2026/08/05,710,188,10,6,1/109,1/68,1090,8,1248
2026/08/06,703,-2812,7,10,1/356,1/147,2495,50,513
2026/08/06,705,-458,1,2,1/358,1/119,358,15,164
2026/08/06,706,1458,50,30,1/122,1/76,6091,153,5001
2026/08/06,707,-1208,3,4,1/401,1/172,1202,44,415
2026/08/06,708,-3833,8,12,1/409,1/164,3272,1,387
2026/08/06,710,-1104,24,19,1/166,1/93,3993,4,2406
2026/08/07,703,-2167,19,16,1/237,1/129,4499,42,3789
2026/08/07,705,-1583,2,6,1/623,1/156,1246,126,309
2026/08/07,706,938,11,3,1/83,1/66,918,15,1969
2026/08/07,707,-1521,5,5,1/297,1/148,1483,4,549
2026/08/07,708,-667,6,7,1/196,1/90,1174,142,411
2026/08/07,710,-333,1,2,1/402,1/134,402,15,247
2026/08/08,703,583,40,21,1/115,1/76,4612,76,2271
2026/08/08,705,-750,2,4,1/358,1/119,715,139,251
2026/08/08,706,-750,14,10,1/192,1/112,2688,24,2687
2026/08/08,707,-3000,16,13,1/217,1/120,3470,18,526
2026/08/08,708,7021,59,22,1/79,1/57,4646,8,7995
2026/08/08,710,2312,26,6,1/71,1/58,1855,11,4020
2026/08/09,703,-2021,13,10,1/185,1/104,2401,59,625
2026/08/09,705,-1667,25,17,1/169,1/101,4221,53,1854
